date,t,volume,seares,sea,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,S2,S,CIMF1,CIMF2,CIMF3,CIMF4,CIMF5,CIMF6,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,emdres,SSA1,SSA2,SSA3,SSA4,SSA5,SSA6,SSA7,SSA8,SSA9,SSA10,SSA11,SSA12,WD1,WD2,WD3,WD4,WD5,WD6,WD7,CE1,CE2,CE3,CE4,CE5,CE6,CE7,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,E1,E2,E3,E4
2006/11/30,11,22243,17953.19649,4289.80351,-1609.651315,-3484.478613,5951.688622,4454.389158,-1451.629559,-5110.845179,-4518.131169,-3268.789979,-1557.558997,7214.117834,4596.892098,-1292.710507,0,4739.318823,-362.1933715,-69.04237979,-1329.308571,1069.041532,18644.69928,,1730.530811,918.9240821,-1163.634959,1077.310149,19679.86992,,20512.46919,,,,,,,,,,,,,-1053.019358,3517.389403,816.538853,633.0876701,-115.6979717,-22.93220205,18467.65699,-374.3081933,2267.150481,1638.569867,-132.9315894,44.56611161,568.3806772,18231.57265,-396.3987318,3174.858294,534.1126665,50.16751458,1057.501528,13910.95572,3678.125034,225.8606294,,,,
2006/12/31,12,17133,18585.83771,-1452.837707,-1571.029567,-3432.750106,6076.457794,4542.025242,-1553.729856,-5151.373512,-4569.584641,-3381.845423,-1639.597277,7269.782439,4676.816706,-1320.035402,0,-1269.201724,394.4713656,-368.2963824,-1142.029721,1063.27612,18638.41633,,-1096.433165,-1700.667449,-774.6045133,1033.632369,19671.07276,,18229.43316,,,,,,,,,,,,,-647.8569358,-2341.727952,919.9543469,556.8896512,208.5854692,-31.65696995,18468.8103,-2543.298418,-484.8242941,1248.265239,86.78119256,35.59349203,560.3880996,18230.09469,-2534.089948,282.8842312,306.0480602,211.7350564,1050.241435,13909.11044,3677.849708,225.8390587,,,,
2007/1/31,13,16719,18412.17799,-1693.177993,,,,,,,,,,,,,,,75.75423246,-400.2838466,-946.7427732,1051.490358,18631.96002,,-198.4593869,-3369.183667,-357.9083176,982.9271473,19661.62422,,16917.45939,,,,,,,,,,,,,2407.343903,-5794.525461,735.6658451,416.2643449,524.3533864,-39.94061192,18469.82583,138.3151134,-3123.075473,593.766736,303.4262497,26.0360888,551.8476142,18228.68367,162.9759414,-2624.708074,-38.28579331,371.2930513,1041.464513,13907.24173,3677.586982,225.8180969,,,,
2007/2/28,14,14769,18102.75213,-3333.752135,,,,,,,,,,,,,,,-615.5899163,-197.6724563,-742.7342022,1033.403188,18625.34552,,-2993.54394,-2889.008858,74.89854967,925.0962295,19651.55802,,17762.54394,,,,,,,,,,,,,-2841.199372,-2135.934003,273.7428791,226.4691934,822.8010001,-47.71261609,18470.82661,-3107.664211,-1218.14074,-201.6096573,510.3512506,15.90646536,542.816596,18227.3403,-3099.044665,-1060.102999,-436.8291782,523.8041322,1031.195895,13905.35636,3677.336787,225.7977688,,,,
2007/3/31,15,24377,19882.26318,4494.736819,,,,,,,,,,,,,,,679.4866269,104.5782405,-529.1232202,1008.733549,18618.58798,,4801.175416,-1430.434329,505.3097058,860.0413602,19640.90785,,19575.82458,,,,,,,,,,,,,1610.923879,3612.78509,-368.6709905,9.514208044,1095.718795,-54.90809573,18471.66735,3172.817305,2712.605919,-973.9240946,700.7936542,5.287209758,533.3546465,18226.06536,3162.472462,2531.31564,-810.8896637,664.2285654,1019.475966,13903.46065,3677.099071,225.7780977,,,,
2007/4/30,16,22968,18911.07812,4056.921877,,,,,,,,,,,,,,,-651.2435378,278.4275831,-305.0088901,977.2003818,18611.70258,,2028.843337,-391.2959783,913.0809417,787.6642841,19629.70742,,20939.15666,,,,,,,,,,,,,122.754131,4334.332234,-1027.114705,-208.8543775,1335.753071,-61.46648832,18472.6284,1392.661232,3507.045525,-1540.803416,866.3848806,-5.672740949,523.5247886,18224.85973,1383.222312,3068.36063,-1077.529698,787.5409933,1006.35444,13901.56068,3676.873795,225.7591071,,,,
2007/5/31,17,17896,19152.39449,-1256.394494,,,,,,,,,,,,,,,-602.909673,281.8813956,-69.80433618,938.5226264,18604.70448,,-3869.953028,162.127807,1277.968048,707.866746,19617.99043,,21765.95303,,,,,,,,,,,,,-903.8938683,770.2867961,-1510.483435,-402.6453349,1536.636398,-67.33268083,18473.43909,-1397.783902,1323.399439,-1748.078796,998.1701443,-16.82576543,513.3946893,18223.72419,-1399.625875,778.3416401,-1164.014504,888.7427458,991.887285,13899.66228,3676.660927,225.740821,,,,
2007/6/30,18,16178,20286.79361,-4108.793614,,,,,,,,,,,,,,,439.3749517,182.9446107,174.4459951,892.4192232,18597.60883,,-6123.336985,495.2690901,1579.726816,620.5504908,19605.79059,,22301.33698,,,,,,,,,,,,,338.3549716,-2051.858048,-1654.527793,-549.1597466,1693.37478,-72.45605082,18474.2538,-67.45535868,-1943.535952,-1599.228819,1090.583302,-28.06001595,503.0374405,18222.6594,-70.61437169,-2454.303358,-1039.274614,963.6850132,976.1377464,13897.77104,3676.460443,225.723262,,,,
2007/7/31,19,15851,19637.44274,-3786.442738,,,,,,,,,,,,,,,-265.9243597,54.44388582,419.8832992,838.6091124,18590.4308,,-6938.798091,872.9261898,1798.113037,525.6172632,19593.1416,,22789.79809,,,,,,,,,,,,,495.6455736,-2839.107641,-1374.141064,-631.9838074,1802.393884,-76.79254863,18474.95698,931.2564378,-3789.007476,-1114.347015,1148.252081,-39.3483456,492.5284358,18221.66588,940.3608911,-4166.512983,-688.6786151,1011.87185,959.1799085,13895.89218,3676.272327,225.7064528,,,,
2007/8/31,20,16451,19586.98018,-3135.980185,,,,,,,,,,,,,,,-340.8748187,-89.31785065,657.176056,776.8112343,18583.18556,,-6983.733651,1518.805169,1912.794007,423.0573017,19580.07717,,23434.73365,,,,,,,,,,,,,-118.4163478,-2347.414006,-697.262307,-643.0885041,1861.62544,-80.30348299,18475.83997,-720.9724112,-2296.545679,-359.8746465,1176.343847,-50.6361677,481.9409542,18220.7441,-722.5102668,-2472.77319,-130.9648744,1035.300887,941.1024206,13894.03064,3676.096571,225.690416,,,,
