date,t,volume,seares,sea,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,S2,S,CIMF1,CIMF2,CIMF3,CIMF4,CIMF5,IMF1,IMF2,IMF3,IMF4,IMF5,emdres,SSA1,SSA2,SSA3,SSA4,SSA5,SSA6,SSA7,SSA8,SSA9,SSA10,SSA11,SSA12,WD1,WD2,WD3,WD4,WD5,WD6,CE1,CE2,CE3,CE4,CE5,CE6,CE7,EE1,EE2,EE3,EE4,EE5,EE6,E1,E2,E3,E4
2006/11/30,11,108333,95574.60374,12758.39626,-4203.551959,-25085.46427,13038.00073,12644.94606,-504.1311401,1719.363701,-4614.654338,-17278.87511,-10727.92421,13211.28403,17728.76751,4685.460586,0,18695.10483,622.1936239,-2921.080158,-1013.989393,2010.263658,96877.21601,-875.5425156,10915.98301,-75.79055707,-584.9708872,98953.32095,109208.5425,,,,,,,,,,,,,-6829.645632,18208.71987,-2209.667872,893.8007961,536.8122465,97733.02975,-3520.420831,12949.5071,1608.082034,-5128.31139,4629.473581,1356.522687,96438.14682,-3516.736392,12947.87072,564.2323797,-2381.989536,13017.38231,87707.62589,,,,
2006/12/31,12,93932,94820.42911,-888.4291142,-4107.859014,-24815.89818,12672.44525,12725.552,-916.6001635,1737.381924,-4874.887284,-17811.02498,-11098.14214,12738.5374,18384.56106,5769.75631,0,6203.913725,-439.4188221,-2741.962354,-1380.289371,2506.138052,96875.96161,-6334.689835,3152.470747,-1858.791723,121.0776198,98851.93319,100266.6898,,,,,,,,,,,,,-3143.815639,551.4771281,-3290.154331,317.0153057,1971.473395,97526.01619,-8382.415259,4367.870184,-80.46882119,-4212.149399,4410.671886,1389.700663,96438.79075,-8389.788331,4380.045578,-1033.747397,-1566.401704,12890.86054,87653.97085,,,,
2007/1/31,13,93897,96804.27635,-2907.276348,,,,,,,,,,,,,,,588.7458036,-1948.445926,-1685.811248,2974.927975,96874.85975,9368.962231,-11562.86357,-3491.444786,837.5882271,98744.7579,84528.03777,,,,,,,,,,,,,15063.78045,-17832.20744,-3591.907601,-424.8886457,3363.771753,97318.40517,10252.66884,-13415.93478,-1788.846318,-3183.919757,4170.179911,1423.151564,96439.70054,10255.10069,-13407.77897,-2601.176962,-701.6415137,12754.78903,87598.28576,,,,
2007/2/28,14,68538,96784.00902,-28246.00902,,,,,,,,,,,,,,,-876.0398447,-749.0078296,-1870.07815,3405.219639,96873.9152,-14178.37676,-12916.08637,-4542.620049,1542.785069,98632.29811,82716.37676,,,,,,,,,,,,,-18207.64082,-10519.84553,-3274.291251,-1247.760796,4675.314119,97112.1229,-12969.10915,-15093.58654,-3143.93025,-2061.259805,3908.323371,1456.692998,96440.86938,-12960.16744,-15072.23476,-3759.654768,189.6676146,12610.28535,87540.67081,,,,
2007/3/31,15,115014,100577.5742,14436.42581,,,,,,,,,,,,,,,1066.181478,721.3343198,-1872.56749,3789.493135,96873.13276,17087.82401,1870.2753,-4675.361391,2216.205236,98515.05685,97926.17599,,,,,,,,,,,,,9570.074902,7317.425662,-2608.168906,-2043.120051,5870.131307,96907.70294,15592.10949,2567.767373,-3843.035096,-860.2496726,3624.923585,1490.194437,96442.28989,15573.04843,2606.039049,-4200.337785,1086.598162,12458.46708,87481.22614,,,,
2007/4/30,16,111047,100211.0311,10835.96893,,,,,,,,,,,,,,,-761.6250525,1612.667106,-1635.442399,4122.914269,96872.51718,556.2828206,13183.94937,-3929.131162,2842.361826,98393.53714,110490.7172,,,,,,,,,,,,,2146.20253,9808.198498,-1836.874275,-2694.132802,6915.853303,96707.8205,-2476.327978,15688.73312,-3857.71315,405.6874732,3319.113406,1523.553524,96443.9536,-2469.851117,15716.95766,-3890.224986,1972.614149,12300.45178,87420.05192,,,,
2007/5/31,17,96659,100411.5109,-3752.510923,,,,,,,,,,,,,,,-1266.877285,1509.856728,-1104.647817,4401.106036,96872.07324,-15510.51422,12937.93865,-2442.644072,3405.977607,98268.24203,112169.5142,,,,,,,,,,,,,-6271.158052,2807.728557,-1080.855447,-3093.531243,7784.603491,96512.23555,-18019.4824,15195.45766,-3210.349709,1700.635764,2990.226669,1556.661395,96445.85063,-17997.27328,15205.57964,-2864.574855,2823.341241,12137.35704,87357.24831,,,,
2007/6/30,18,103999,102388.8229,1610.177135,,,,,,,,,,,,,,,556.9852482,596.4321483,-256.0916407,4619.691428,96871.80572,1881.406881,511.331119,-424.9120768,3891.499528,98139.67455,102117.5931,,,,,,,,,,,,,1261.114134,1454.11588,-331.7501569,-3161.191633,8453.896646,96322.84264,1519.156185,814.7945318,-1977.72914,2966.932761,2638.453046,1589.422357,96447.97026,1549.60919,824.9284997,-1239.084899,3611.945909,11970.30043,87292.91549,,,,
2007/7/31,19,105823,103866.0959,1956.904145,,,,,,,,,,,,,,,1778.543749,-422.7964075,864.335732,4774.293441,96871.71939,13920.048,-12114.25187,1725.491606,4283.374538,98008.33772,91902.952,,,,,,,,,,,,,4852.632847,-1692.621799,473.7131477,-2858.036646,8907.20601,96140.09779,16023.83669,-14211.2405,-472.7152032,4146.51792,2264.542466,1621.757232,96450.3014,16013.03543,-14190.94234,662.5037643,4311.574202,11800.39952,87227.15361,,,,
2007/8/31,20,88766,103447.4361,-14681.43611,,,,,,,,,,,,,,,413.8821173,-874.9136462,2176.11354,4860.535069,96871.81902,-4304.823077,-12977.99334,3608.032254,4566.049584,97874.73457,93070.82308,,,,,,,,,,,,,-3535.370705,-11961.10445,1355.955731,-2194.476171,9134.435973,95966.49007,-936.9808392,-16465.76267,1013.643452,5179.141163,1869.531022,1653.595349,96452.83252,-947.2788195,-16449.75019,2481.28607,4895.372166,11628.77189,87160.06284,,,,
