date,t,volume,seares,sea,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,S2,S,CIMF1,CIMF2,CIMF3,CIMF4,CIMF5,CIMF6,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,emdres,SSA1,SSA2,SSA3,SSA4,SSA5,SSA6,SSA7,SSA8,SSA9,SSA10,SSA11,SSA12,WD1,WD2,WD3,WD4,WD5,WD6,WD7,CE1,CE2,CE3,CE4,CE5,CE6,CE7,EE1,EE2,EE3,EE4,EE5,EE6,EE7,E1,E2,E3,E4
2006/11/30,11,22482,18299.93541,4182.064588,-1048.515078,-3968.658192,7856.292498,6481.923939,-2440.735944,-5833.264232,-4788.093019,-4352.869207,-2877.572244,6661.01703,5005.176688,-935.3634904,0,5174.85165,508.574918,274.5013142,-241.3190225,-459.6323231,18217.81052,,342.9833455,3854.212158,348.4717341,-565.6258033,18501.95857,,22139.01665,,,,,,,,,,,,,-741.8941292,4043.912348,1421.58354,-438.6989583,22.38504091,-298.847637,18473.57112,893.066608,1573.884569,1461.244312,627.2110889,-248.0121486,18174.60557,,880.0710591,1953.199472,1164.424136,482.6157755,673.5596894,15234.85009,2093.19323,,,,
2006/12/31,12,16763,18457.07759,-1694.077594,-864.7851488,-4111.491037,8349.117733,6787.416393,-2584.97922,-5990.768721,-4787.011642,-4685.486551,-3259.057716,6639.151489,5049.463693,-647.3154545,0,-763.9837337,1091.361937,-86.03843423,-223.7703723,-541.9998426,18217.5243,,-4755.748963,3128.724349,451.2888391,-572.9552102,18511.69098,,21518.74896,,,,,,,,,,,,,-647.4894907,-2060.900965,1872.291655,-466.4535493,-121.6405743,-284.9033509,18472.0857,-3413.436656,-113.3859223,1858.246001,484.4001163,-241.9015305,18189.07799,,-3439.688676,198.4506556,1585.100967,394.2469163,689.414123,15244.07506,2094.204797,,,,
2007/1/31,13,14459,15893.26705,-1434.267052,,,,,,,,,,,,,,,-1345.807245,-214.9119101,-155.4912278,-607.9513231,18217.42876,,-5690.818449,1670.331959,535.2146453,-577.8261755,18522.09802,,20149.81845,,,,,,,,,,,,,1300.178883,-6097.139849,1784.340356,-468.70505,-260.8371712,-269.3175801,18470.45262,-4308.630719,-1288.124448,1785.916139,297.3146374,-232.8432803,18205.36767,,-4339.253675,-1116.520338,1591.448625,266.1151263,707.5206693,15253.71908,2095.229095,,,,
2007/2/28,14,15637,18873.93175,-3236.93175,,,,,,,,,,,,,,,1259.590047,102.6624293,-50.16538897,-655.6850742,18217.52974,,-3004.986547,87.01120779,601.6131426,-579.8100897,18533.17229,,18641.98655,,,,,,,,,,,,,-689.1526516,-2274.239212,1219.374995,-445.3056326,-390.3568234,-252.1306153,18468.79524,-2835.031231,-798.6318794,1186.946875,81.40340436,-221.0574093,18223.37024,,-2842.952083,-810.0184752,1097.734496,106.873763,727.8186049,15263.75244,2096.265126,,,,
2007/3/31,15,21099,16820.34184,4278.658161,,,,,,,,,,,,,,,-881.2231818,129.6915842,37.55085128,-683.5105081,18217.83309,,3868.396676,-1387.67305,651.8483206,-578.4731351,18544.90119,,17230.60332,,,,,,,,,,,,,-452.6178109,3852.69866,368.9630113,-397.8817016,-505.7149626,-233.3966437,18466.96923,2372.422548,591.4117942,242.7321481,-143.8049291,-206.7270714,18242.96551,,2399.728649,347.4744672,295.1198148,-68.62574383,750.2453322,15274.14462,2097.311888,,,,
2007/4/30,16,22084,17948.69852,4135.301485,,,,,,,,,,,,,,,449.0377814,-84.19040902,55.2436867,-689.7372046,18218.34467,,6025.867137,-2613.041945,687.284169,-573.3741127,18557.26475,,16058.13286,,,,,,,,,,,,,912.965636,4366.734965,-515.2176709,-329.5921456,-602.9417092,-213.1808554,18465.25588,3579.309347,1503.190002,-713.1415744,-359.3809764,-190.003747,18264.02695,,3632.463371,1076.732086,-534.9450406,-244.4566023,774.7345925,15284.86455,2098.368383,,,,
2007/5/31,17,16291,17346.69464,-1055.694636,,,,,,,,,,,,,,,-174.9283734,-34.53106722,10.6227099,-673.5374966,18219.06887,,1020.146526,-3444.60238,709.2850872,-564.0689171,18570.23968,,15270.85347,,,,,,,,,,,,,-333.2471577,474.11335,-1198.222823,-244.728699,-678.7403117,-191.5623596,18463.38519,-818.1742107,921.0347089,-1380.490511,-546.8020488,-170.9916517,18286.42371,,-777.6773256,430.0004129,-1153.437417,-404.6747904,801.2101506,15295.8808,2099.43361,,,,
2007/6/30,18,13187,17672.0659,-4485.065898,,,,,,,,,,,,,,,100.1073311,25.28884803,-35.79999195,-637.5349598,18220.00467,,-1840.993019,-3724.798971,719.1129349,-550.1231911,18583.80225,,15027.99302,,,,,,,,,,,,,-547.0058255,-2158.864815,-1521.17251,-148.276672,-730.5896015,-168.6320514,18461.5122,-1824.398307,-802.609322,-1659.450667,-686.7220363,-149.8432234,18310.02356,,-1816.921163,-1244.043917,-1453.089489,-533.2224675,829.5858148,15307.16168,2100.506567,,,,
2007/7/31,19,14172,17408.03591,-3236.035913,,,,,,,,,,,,,,,-159.0706022,-41.19352763,-27.82449118,-585.0251663,18221.1497,,-1427.743821,-3181.617022,714.5767993,-531.1446507,18597.92869,,15599.74382,,,,,,,,,,,,,636.8395088,-2547.261532,-1430.33674,-45.45838915,-756.8528403,-144.4921478,18459.52289,730.8762756,-2524.71891,-1478.316499,-763.885019,-126.6463578,18334.69051,,691.943401,-2821.783529,-1362.750229,-616.1861029,859.7602435,15318.67533,2101.586256,,,,
2007/8/31,20,15129,18019.17065,-2890.170651,,,,,,,,,,,,,,,304.6357691,-21.18784474,31.76158338,-518.5404148,18222.50156,,-2281.481669,-1376.570065,681.2525889,-506.7961424,18612.59529,,17410.48167,,,,,,,,,,,,,484.7655993,-2020.002811,-976.1018222,58.6712809,-756.8142827,-119.2570739,18457.70974,496.9782689,-2026.191791,-820.8037667,-779.7372028,-101.5287069,18360.2832,,443.1261623,-2136.21282,-855.9083145,-650.3370529,891.5816941,15330.38971,2102.671673,,,,
2007/9/30,21,15928,17411.69997,-1483.699972,,,,,,,,,,,,,,,-604.5378681,112.2519781,120.3501782,-440.422186,18224.05787,,-3923.532056,1098.821964,601.8134987,-476.8816925,18627.77829,,19851.53206,,,,,,,,,,,,,-1979.182209,406.0417332,-290.3918483,159.5138999,-730.7205901,-93.05197164,18455.78746,-2389.837621,682.2343609,64.40157744,-740.6571995,-74.79560883,18386.65449,,-2419.808547,727.9255124,-117.9144146,-637.9396897,924.8086095,15342.27261,2103.761817,,,,
2007/10/31,22,24638,17499.6796,7138.320399,,,,,,,,,,,,,,,-778.2387226,191.133278,213.9807597,-353.0119603,18225.81625,,3045.785536,2931.033122,459.214411,-441.4870143,18643.45395,,21592.21446,,,,,,,,,,,,,2332.536248,3896.75163,447.5291893,253.093812,-679.7476364,-66.01405747,18453.87732,2502.242215,3552.380905,868.2883781,-651.7400536,-46.82455521,18413.65311,,2518.150494,3692.979074,595.8915084,-581.904386,959.1242003,15354.29165,2104.855684,,,,
2007/11/30,23,21975,17872.67341,4102.326595,,,,,,,,,,,,,,,-508.1568134,119.6219167,292.0852199,-258.6512182,18227.77431,,1239.924282,2231.557604,244.683608,-400.7640202,18659.59853,,20735.07572,,,,,,,,,,,,,-793.4062519,3575.120839,1049.664124,336.061289,-605.9706743,-38.28777328,18451.83145,-254.8215801,3005.228643,1319.579154,-518.0419655,-18.07123674,18441.12698,,-243.0080343,3177.117755,1058.20189,-485.1009656,994.1805339,15366.41441,2105.952272,,,,
2007/12/31,24,16229,18049.34461,-1820.34461,,,,,,,,,,,,,,,-306.3775439,-63.48893253,348.9628635,-159.6814403,18229.92966,,-1806.356597,-268.2452434,-17.72182399,-354.8646226,18676.18829,,18035.3566,,,,,,,,,,,,,-1777.049202,-1685.899489,1358.684872,405.6215036,-512.2657327,-10.02927871,18449.92712,-2754.628663,-508.7483218,1356.348263,-343.8601173,10.96489038,18468.92395,,-2750.304965,-363.9871186,1180.71404,-350.6350515,1029.636472,15378.60858,2107.050576,,,,
2008/1/31,25,18074,19615.99747,-1541.997465,,,,,,,,,,,,,,,1351.416333,-296.7509498,387.4962581,-58.44410693,18232.27994,,2385.331552,-2404.852705,-295.737598,-303.940734,18693.19948,,15688.66845,,,,,,,,,,,,,3581.04924,-5315.605206,1284.906616,459.359272,-402.211807,18.59893146,18447.88995,2868.018848,-4196.378688,1003.644142,-137.9267598,39.75312008,18496.88934,,2864.387534,-4118.495454,946.7439212,-184.2779844,1065.16851,15390.84217,2108.149591,,,,
2008/2/29,26,13732,16941.66481,-3209.664814,,,,,,,,,,,,,,,-1295.236882,-452.5060267,411.8656801,42.71930125,18234.82274,,-3433.145218,-745.2574808,-552.061414,-248.1442668,18710.60838,,17165.14522,,,,,,,,,,,,,-3481.337299,-2329.82442,834.7076002,495.0871338,-279.943016,47.42375431,18445.87145,-2889.646979,-2389.05689,337.8284207,80.23312879,67.76865196,18524.87367,,-2891.125533,-2384.937213,395.8694642,-0.054792523,1100.463687,15403.08351,2109.248311,,,,
2008/3/31,27,23985,19631.96723,4353.03277,,,,,,,,,,,,,,,1089.361093,-261.9223825,425.505531,141.4673038,18237.55568,,3813.132299,2360.342525,-729.2389201,-187.6271335,18728.39123,,20171.8677,,,,,,,,,,,,,1930.962594,3052.643041,120.6860641,510.7101219,-149.9992288,76.27024621,18443.7551,2739.955816,2724.7146,-415.0946441,288.0968282,94.59751184,18552.72989,,2743.632569,2669.040868,-272.991849,184.1817068,1135.211595,15415.30117,2110.345727,,,,
2008/4/30,28,22165,18155.40775,4009.592247,,,,,,,,,,,,,,,-826.0610218,76.66724676,428.8667111,235.4584202,18240.47639,,1732.562363,2573.232342,-764.615276,-122.7037219,18746.52429,,20432.43764,,,,,,,,,,,,,-384.1144618,4171.920806,-656.6425052,504.2291994,-17.15148675,104.9547127,18441.83275,-472.9910221,4479.055104,-1005.2983,464.0138782,119.9082968,18580.31204,,-467.841343,4397.081782,-821.6215194,350.1559842,1169.101988,15427.46388,2111.440831,,,,
2008/5/31,29,18960,19839.32455,-879.3245501,,,,,,,,,,,,,,,606.511765,245.2248897,421.5825422,322.4228732,18243.58248,,477.7056774,389.3380541,-617.5974917,-54.43006741,18764.98383,,18482.29432,,,,,,,,,,,,,-17.58213133,1075.883662,-1259.049607,473.8683302,113.7772228,133.2933927,18439.81976,-1703.715714,2547.53704,-1223.760708,589.1000709,143.3626829,18607.47663,,-1699.267731,2477.24366,-1055.768059,479.9315844,1201.824524,15439.54055,2112.532609,,,,
2008/6/30,30,15173,19683.1991,-4510.199098,,,,,,,,,,,,,,,320.2180735,312.7322359,402.8467383,400.5304935,18246.87156,,-996.6185674,-2291.458752,-338.2771082,15.60833467,18783.74609,,16169.61857,,,,,,,,,,,,,-647.8713706,-1950.749834,-1483.793544,418.3741411,238.0862417,161.0957859,18437.83998,-1885.928994,-1319.57372,-1070.407799,650.2719231,164.5518364,18634.08675,,-1874.310093,-1352.895745,-959.849612,559.6976872,1233.068808,15451.50033,2113.620046,,,,
2008/7/31,31,16108,19630.32508,-3522.325084,,,,,,,,,,,,,,,179.5606115,360.619097,371.1701337,468.6339912,18250.34125,,670.6829682,-3451.747141,0.542581868,85.73424281,18802.78735,,15437.31703,,,,,,,,,,,,,1080.554289,-3048.262247,-1237.056332,337.4281258,351.3790704,188.1758252,18435.74917,1771.323191,-4532.689982,-624.7124008,651.110705,182.9553014,18660.01319,,1767.246577,-4516.355135,-575.4569133,589.0988491,1262.525852,15463.31288,2114.702123,,,,
2008/8/31,32,16473,19188.32272,-2715.322717,,,,,,,,,,,,,,,-361.9844581,445.6683799,324.9071045,525.7425349,18253.98916,,-1325.488114,-1504.578423,326.7122711,154.2704156,18822.08385,,17798.48811,,,,,,,,,,,,,-24.76580047,-2254.277859,-577.9727255,232.108677,449.7113675,214.3431474,18433.82915,327.2057765,-3367.442962,30.23039334,599.6093047,198.254081,18685.14341,,318.6312189,-3320.306381,21.31468907,573.1990901,1289.905918,15474.94889,2115.777815,,,,
